,2025-07-03,2025-07-04,2025-07-05,2025-07-06,2025-07-07,2025-07-08,2025-07-09,2025-07-10
avg_temperature_2m_24h,18.88571428571429,25.224999999999998,23.191666666666666,20.175,19.479166666666668,18.974999999999998,21.212500000000002,21.435294117647057
avg_relative_humidity_2m_24h,87.71428571428571,60.375,72.83333333333333,73.16666666666667,83.45833333333333,80.91666666666667,72.125,76.6470588235294
avg_dew_point_2m_24h,16.742857142857144,16.070833333333333,17.541666666666668,14.791666666666666,16.420833333333334,15.516666666666667,15.525,17.041176470588233
avg_apparent_temperature_24h,20.785714285714285,26.775000000000002,24.90416666666667,19.945833333333333,20.729166666666668,19.575,22.15416666666667,22.488235294117647
avg_temperature_80m_24h,23.62857142857143,25.875,22.28333333333333,18.858333333333334,18.408333333333335,17.929166666666667,20.025000000000002,20.129411764705882
avg_temperature_120m_24h,23.857142857142858,25.78333333333333,21.8,18.170833333333334,17.925,17.533333333333335,19.6125,19.49411764705882
avg_wind_speed_10m_24h,3.0,5.645833333333333,7.441666666666666,12.833333333333334,6.695833333333333,8.737499999999999,6.925,9.782352941176471
avg_wind_speed_80m_24h,9.185714285714285,12.970833333333333,15.154166666666667,24.40416666666667,12.862499999999999,17.679166666666667,13.733333333333334,17.405882352941177
avg_visibility_24h,24140.0,24060.833333333332,22985.833333333332,22955.833333333332,23904.166666666668,23332.5,18905.833333333332,23838.823529411766
total_rain_24h,0.0,0.0,2.5,2.0,0.0,0.0,0.0,0.0
total_showers_24h,0.0,0.0,0.30000000000000004,0.5,5.1,1.5,0.0,0.0
total_snowfall_24h,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
